timestamp,speaker,words,tags
,RH:,"It was extremely different in Roxbury; it was an extremely different time. It was post Depression and Roxbury and Boston had eleven neighborhoods with housing restrictions. You not only couldn't get a home in some of these neighborhoods but you weren't too comfortable in others. As I look back now, some parts of Boston it was almost like being downtown Johannesburg when five o'clock came, you better find your way back where you came from. Boston had its own racism. I've been a victim of it on a number of occasions",
,INT:,[inaudible] Did you live in one --?,
,RH:,"Well I was assaulted in Charlestown. As I said bugle and drum corps were big things. This was after I was a member of the [inaudible]. Most of the guys in town loved the bugle and drum corps, it was a big thing. They would either try to get into the Catholic Church bugle and drum corps. One of the catholic ones is closing this week down on Shawmut Avenue; I think it's Holy Trinity Church which is scheduled to close this week. Father Carr he developed almost a virtual black bugle and drum corps down there. So bugle and drum corps were big things in the black community. One of the bugle and drum corps was marching in the Bunker Hill Day parade. Some of the kid in [inaudible] asked me to take them to see the parade because some of the kids that played basketball for me were marching in the parade. We went to the parade and when the parade was over we went back to my car, I had a big, black car, I was dressed up and going back to the car and all of a sudden some kids up on a third floor porch started yelling at us. What are you so and so's doing around here? You're troublemakers and then all of a sudden they started running down the three story floors. I thought it was two guys, I found out later it was three guys that were with me from [inaudible] I said go straight to the car. Before we got to the car, these guys that had come down with sticks and beer cans in their hand surrounding my car and the eleventh kid was running across and all of a sudden the eleventh kid caught my eyes and I realized who he was. I worked for the Division of Youth Services for a few years and one of my cases was this kid named William Hayes. These guys were just pushing me up against my car and Billy Hayes came and said, oh don't touch him, don't touch him, I know him. I had recommended this kid for parole consideration, Division of Youth Service. That would be a long story; I could write a book on that story alone. If he wasn't there, people -- adults - standing upstairs in a window laughing at the whole thing.",
,INT:,[inaudible],
,RH:,My guess is 1957 or 8. There were adults standing there laughing and Billy Hayes made them let us go. I got in my car and pulled out.,
,INT:,The black community itself was different than it is -- ?,
,RH:,"The black community was very cohesive, even the black community up on the hill. It was a neighborhood. There were relationships. The morals were different. The standards were different you know.",
,INT:,[inaudible - laughing],
,RH:,[laughing],
,INT:,[inaudible] I want to get around to Martin Luther King and some of the [inaudible whole section] the mores and --?,
,RH:,"Your parents would chastise you. I get upset every time I see somebody being taken to court for giving their child a beating. We got beatings and the neighbors -- I remember one day me and my brother Roy and Jimmy Callahan was our close friend. He was an altar boy at St. Francis and one day we went to see what Jimmy was doing on the altar. Two dumb little kids, we walked into St. Francis DeSales Church and the place was crowded. We walked all the way up to the front. Needless to say, Jimmy's grandmother spotted these two little colored kids going to the Mass and the next thing you know Mrs. Callahan is at our house and we're getting beat. The mores are different. The schools were different. I was telling someone yesterday that out of my Division of Youth Service experience and my parole board experience, I taught when they had weekly religious education for a number of years before the lady took the case to the Supreme Court, Madeline Murray O'Hare, and got it outlawed but kids that were not raised in religious families, you went to the Boston Public Schools System, I learned ""come thou almighty king,"" in school, in the Beverly School. Most of the teachers were Irish Catholic when I went to school. There were some Jewish teachers, some Italian, but most of the teachers were Irish. Almost every morning at school there would be a psalm. I look back on this now not so much as a minster but looking at it as a social worker. How you are in school, something is imbued in your head that is the ultimate authority here. There is a ceiling. You go so Farrakhan and you got to stop. There is somebody bigger than you. Whether or not you were raised in church you come thou almighty king. You learned that there is a God that teaches religious psalm in school. So this was inculcated very, very strong. So you had neighborhood-- parents that cared. Somebody asked me if drugs were prevalent when I was growing up. Really the only time I heard anything about heroin was once in a blue moon down on Congress Avenue but where I was living, pot and a knife were going to be the big thing. Not a gun in the hand of a kid who has or feels he's imitating the United States of America, the way to disperse with the enemy, if they get in your way, blow them away. I saw this at the state parole board. When a guy came before the parole board and he did not fear God, he didn't believe in God, didn't believe in a life hereafter, what the heck does he care about the judge or the parole commissioner or anybody else? That would always be a dangerous guy. That's the kind of difference that we have in our society today. There is very little respect for authority. When the big things are, I'm coming to this conclusion out of my own observations is that a lot of people say America is a Christian country or was suppose to be a Christian country but the God that's worshipped in America is not Jesus Christ, that's not the God that is worshipped in America, the God is money. The love of money. I've watched the whole decay; I've watched the rip off of hip hop culture. It's a money thing. They will do anything for money. They will distort the super bowl for money. Things are not clean and pure anymore. They're just tools for somebody to make more money. All of this creates a wild society. I say over and over again, I don't know anybody in Roxbury or Dorchester that's making guns. That's manufacturing guns. I know those who sell guns but the guns are not being manufactured by us. The gun lobby is so strong that they can't get a handle on the guns and they're all over the place, they're in the hands of kids. The whole society is different. I heard somebody, it might have been a preacher on television and I always listen to him and I wrote it down. He said there is a hole in the moral ozone. I don't --.",
,INT:,[inaudible] seem to have those values --?,
,RH:,"it's a challenge and I say this over and over again. We did this experiment with the Exquisites and I was fortunate to have a guy like [Gene] work with me over the years. I used to have to fight with the social workers about you can't regulate the time of service to young people. It's not going to be two o'clock in the afternoon to 10 o'clock at night. You can't work that way. It's going to be 7 24. We did this at Norfolk House. We did this with those kids. We immersed their lives, you might hear guys say that I come up to Grove Hall and get out of my car. We'd go anywhere, anywhere the kids live. Guys in Madison Park, I'll walk into the middle Madison Park. We were 7 24 in our experiments with the Exquisites. Many of these guys came from broken homes or home where there were problems. Ably has been around my life since he was eleven years of age -- [Ably Holland] -- I love him. This is what [Gene] and I said, we have to fill these kids' lives with new visions, new hopes, new mores, saturate them! That's what we do with the Exquisites. Just engulf their lives. But now we lost all of the settlement houses -- Norfolk house is gone; Shaw House is gone; the summer camps are gone -- all gone. I tried to get some people to fight it when it started happening. The only one who tried to fight it was Mrs. Hester because she was tough. But when they said they had to close Shaw House and they had to close Norfolk House -- they closed three of the best agencies in this community. They've never really been replaced because what you had coming up is ages that worked more greatly on community development. Much is their project is community development. I said let's develop a separate agency to work on that and let's keep this concentration on kids and families in these housing development that you are building.",
,INT:,"[inaudible] Martin Luther King, Jr.?",
,RH:,"Martin Luther King, Jr. -- upper middle class black kid comes to Boston at a young age. Remember he went into college at age 15. I'm almost two years older than Martin but when he came, he was ahead of me. He was working on a PhD and I was trying to get a Bachelors theology degree and this guy was working on a PhD. He had just broken up when he came up to Crosier. He had just broken up with a girlfriend that his parents liked. We were in Twelfth Baptist Church three ladies from Atlanta: Mary Powell, a part-time secretary; Barbara Wright, who used to babysit the King children. She used to babysit them at their home. She retired here because she had family here. Dr. King, daddy King and Rev. Hester, my predecessor, were friends. In those days, Baptist ministers had to be friends. That was your world. When you traveled you don't stay in hotels, you have to stay in Dr. So and So's house. There was a big network of these Baptist preachers. Rev. Hester was the big guy in New England. His brother-in-law, Marshall Shepherd, was the big guy in Philly and his brother had put him -- Twelfth Baptist didn't want him, they wanted his brother Marshall Shepherd. But he wouldn't come, he recommended his brother. So Rev. Hester became the big cog for the National Baptist in New England. Daddy King calls him. My son's coming to BU, he was worried about him socially; he was worried about him theologically because his son had been asking theological questions that concerned his father's conservatisism and said would you look out for my boy while he's in Boston? Coretta writes about it in her book and Daddy King speaks about it in his book. So this was the tie, he was told that he coming with Rev. Hester. He came and spent a lot of time hanging out at the Hester's house up at 38 Highland Street. Rev. Hester had two nieces from North Carolina going to graduate school too so 38 Highland Street became sort of the hip place for the graduate students to hang out. Martin spent a lot of time up there and Mary Powell, Rev. Hester's part-time secretary was the one that introduced him to Coretta.",
,INT:,Is that right?,
,RH:,"Yes, she's the one who introduced him to Coretta. He hadn't met any girls on campus that he liked and he looked at the girls in church [laughing] there weren't any girls in Twelfth Baptist that enamored him. He asked Mary Powell are there any, because Mary was a part-time student at the Conservatory. This is how she knew Coretta. Coretta was studying at the Conservatory. She said I've got just the girl for you and she set it up. Mary Powell set that up.",
,INT:,Mary Powell also gave you --,
,RH:,My job at Norfolk House.,
,INT:,She was quite an active lady.,
,RH:,"She was a brilliant lady. She was married to a nephew of Benjamin Mayes. She was brilliant. Mary Powell was a brilliant lady. She had been involved in some kind of ambassadorial level for the Red Cross, she was a brilliant lady. She had a breakdown later in life. She's got a son here in Jamaica Plain, named Michael Powell. He's a contractor. I remember the first time Martin preached and I knew I wasn't preaching in Twelfth Baptist Church with him there.",
,INT:,[laughing],
,RH:,"I'm born in Boston and I've never had a black teacher in my life. All the schools I went to were all white. I never knew what a black teacher was and here comes this guy, younger than I, superb, superb! Superb preacher! He becomes very, very popular here. Soon after he met Coretta. Being in the PhD program, he met a lot of other guys. BU is one of the preferred places where a lot of guys in the south wanted to get their PhDs. So you've got this influx of guys that had master's degrees in southern colleges coming here to get their PhDs and going back and teaching in black colleges particularly.",
,INT:,Was Thurman a draw?,
,RH:,"Yes, Thurman was a draw for all blacks working in the academy. Thurman was a big draw and the relationship between Thurman and Dr. Mayes -- this was a choice place to come.",
,INT:,So what was your relationship with Martin Luther King?,
,RH:,"We sort of became friends. I took him on a tour to some youth programs, Shaw House, particularly. He had this think tank that used to meet at his house. These are mostly guys working on PhD programs; I'm just working on a bachelor's degree. So I'm not invited to this think tank but we became closer after he settled in Montgomery and he came back to finalize some work here and to move out of the apartment. He preached at the Twelfth Baptist Church on a Sunday morning. I came out and was talking with him and by this time, I was the first recognized or publicized minister to youth in Boston's black churches. I was the first celebrity minister to youth. The black churches hadn't done anything like that yet. I spent most of the time concentrating on these youth programs between Shaw House and Twelfth Baptist Church. I had the first black guy who played for the Celtics. We had a big banquet at the Twelfth Baptist Church.",
,RH:,Cooper?,
,RH:,"Yes, Cooper. Chuck Cooper",
,INT:,Yes Chuck Cooper,
,RH:,"And so that became, Martin asked me if I would consider coming to Montgomery, Alabama.",
,INT:,Is that right?,
,RH:,"But I have never, I hadn't been below the Mason-Dixon Line at that time. I remember telling him how I could adapt to the south. My first trip south came the year after. But almost every time he came to Boston I'd end up driving him some place because he would always try to see the Hester's whenever he came. Up until the time that Rev. Hester died and then Mrs. Hester died, he always wanted to check up on Mrs. Hester and Mrs. Wright who had been their babysitter. I ended up driving him much of the time in Boston and take him back to the airport rather than him riding in police cars, he'd ride with me. In fact his last trip to Boston he spoke at [Ford Hall inaudible]. I drove him back and it was quite different because the first time we didn't have a whole lot of police and he said at that time he realized that there was a bounty on his life, there was no way he could hide from this thing. It comes sooner or later and it's going to get me.",
,INT:,He actually knew this?,
,RH:,He knew that. He had discussed this with his wife. He knew his life was in jeopardy.,
,INT:,What was his last march here in Boston?,
,RH:,The march in Boston?,
,INT:,"Yes, what was that about?",
,RH:,"That was really two things: some of his advisors didn't want him to take the time to do that. He felt he owed Boston something and he loved Boston. He had too many dear friends in Boston. So he conceded to come for the march on Boston for school. The major issue was the education issue. He made the visit to the schools and that was very interesting. That was his first opportunity -- by that time I was in the legislature and so we had proposed, Frank Holgate and Bol and I to have the Massachusetts legislature invite him. Many legislators didn't want it to happen. But they wouldn't publically denounce it. So the vote came in, a lot of legislators didn't come but they filled the place anyhow. Speaker Deveron was a very sensitive guy. He had already appointed a black assistant that became his black deputy secretary of state. He was a man of goodwill and the majority [inaudible] was also a guy of goodwill. So this was the first legislative body he spoke to in the nation.",
,INT:,Is that right? What year was that?,
,RH:,It was April 1965.,
,INT:,"In some ways, it's in the period in black Boston and he started a new-- you mentioned from the 30s to the 60s were [inaudible] years black Boston. I'd like to pause here and you mentioned that you did several things in your life; I won't spend too much time because I know you don't like too but I would like to start with what you've done from seminary until now?",
,RH:,"I was scheduled to be a missionary. In this little theological school that really, I went to three right-wing, white evangelical schools. That was kind of a natural for me because of the whole Pentecostal influence and everything, that wasn't strange. Simpson Turner, who was a very conservative black, guided me in these schools. I went to the New England School of Theology where I was made to feel wonderful, made to feel very important. I became an officer in the class and everything else. I was treated royally. Then I got involved in, Billy Graham had a little bit to do with it, I had something they called student foreign mission fellowship sponsored by a church called Intervarsity Christian Fellowship which is on a lot of college campuses. I got involved in the school of Christian fellowship because ever since I was a kid and Kathy Watson talks about this, ever since I was a kid growing up on Haskins Street, I saw the world. I was always interest in everybody in the world. That's how some people spoke at U/Mass on Martin Luther King Day. We had no holiday. My big holidays were the Jewish holiday and St. Patty's day. These were my holiday you know and I knew, in fact I've got a funeral tomorrow, of a girl named Mary White. She came from a large immigrant family out of the Caribbean, the Whites. The oldest brother, Johnny White, black as I am. Johnny White teamed up in school with an Irish kid and they became, I forgot what you call it, a song and dance team for years. I remember John White and Frankie Hall putting on a performance on St. Patrick's Day at somebody's school up in Elliott Square. They go everywhere. So St. Patty's day for anyone living in Roxbury, you've got three Irish Halls in Dudley. On Friday night and Saturday night in the 30s and the 40s is drunken time at Dudley Square. You've got these three Irish dancer Hall's coming up. So St. Patty's day was a big thing last week; but early in my life, I was absolutely intrigued with everyone from around the world. I remember I asked a librarian to check it out for me. We had a series and a library on Ruggles Street right across, right where you guys are building the new dorm. There used to be a library right there. The Ruggles Street branch of the public library. I remember going to get all these books, the African Twins, the Scandinavian Twins -- all this stuff and I got fascinated with these people from all around the world. That stayed with me forever. When I was growing up my grandparents were already dead. The only grandmother, Roy and I joke about this, the only grandmother that I knew was Jimmy Callahan's grandmother. It was a long time before I realized that Jimmy Callahan's grandmother wasn't my grandmother. [laughing]",
,INT:,[laughing],
,RH:,"We called Jimmy's grandmother, grandma. Jimmy called her grandma and we called her grandma. Jimmy's grandmother was very nice to us. The grandfather was different. I didn't know until I got older, the grandfather was not very friendly. But grandmother Callahan was wonderful to me. Our closest friend was Jimmy Callahan growing up. We talk about it all the time. It wasn't until Jimmy moved to St. Louis, Missouri and Jimmy would appear in some clubs with Roy was. All these different races of people I got intrigued with the foreign mission enterprise when I was in theological school. I wanted to travel and see the world. Then in the paper of Johnson Smith University they had sent the first African in this era to do youth mission work in China. This is 1945 now. I was absolutely intrigued. I read the story of this guy going to China. I spoke to the representative of the mission board and said do you have short-term mission projects in China and they said sure. And I said would you send a black guy, sure. So I got a note and when I finished theology school I went down to Charlton College in New York City, 360 West 55th Street, didn't know what I was getting into, had a special training program in medical preparations for missionaries going into nations where medical services were limited. I applied and one of my classmates applied, a while guy from Waterbury, Vermont. I used to type; one of my part-time gigs in school was doing some sports for the Chronicle so I learned how to type. I typed out Floyd's stuff for him. I put it in the mailbox and I mailed them. Floyd got accepted and I was rejected. So the editor of the Boston Chronicle got curious and did some investigating and found something was wrong. Something was wrong down in 340 West 55th Street. Come to find out that it was a racial thing. They brought it to the attention of the administration. They quickly covered it up and let me in the school. I found that I was the first black, this is 1949 now -- first black to live in their dormitory. The school was filled with right-wing fundamentalist, many of them from the south. They were preparing for the masters program, the missionary medical program for those going into foreign mission countries and the bachelor program in this right- wing fundamentalist school. One of the worst years I've had in my life. I could have blown that school apart. If I left it to my friends at the Boston Chronicle, they would have blown the place up in terms of publicity. I got a friend out of the whole thing. The son of the president. I had him for a course in linguistics and he knew what was going on and felt very, very guilty and befriended me. Later on I was invited to Fifth Avenue Presbyterians and once a year I'd go the Fifth Avenue president of new York and this guys son who came up here to study in the Conservatory and he's come to the Twelfth Baptist Church, I've got some friends out of it but I developed ulcers that year. It was the first time I've had stomach problems that year. So I went through that and by the time I finished, the revolution had taken place in China and all the missionaries had to get out. So I came back to Boston and started taking some courses in Gordon Divinity School and went to work at Shaw House. Not really sure as to what I was going to do but I worked at Shaw House. I loved it and then they asked me, they were trying to get blacks into the Division of Youth Service because there were no blacks in any rank and positions in the Division of Youth Service in 1950. I was the third black male to go to work for the Division of Youth Service. I went with the intention of being prepped to come one of the three commissioners of and John Shelburne was behind this. They were trying to prep to get a black commissioner at the Division of Youth Service and that's what I was put on track for. Mary Powell, when they started having the problems at Elliott Square, race problems she recommended they hire me at Norfolk House -- 7 ½ wonderful working year of my life. I wish I had a job like that where they say you get the project and we find you the money that's when I established the outdoor basketball program and the Celtics used to come and help me in the summer raise scholarship to send kids to the black colleges in the south. That's the place where I had every basketball player promise to come into the Boston School System. I would be the channel between them and the colleges the scholarship from there. I loved it. When I went to Twelfth Baptist, I always planned to go back to the Norfolk House.",
,INT:,How did you get into the program?,
,RH:,"Mrs. Hester, the social worker; Mrs. Hester whom I worked with at the Shaw House. Rev. Hester was getting old and she was concerned about youth work in the church and she said Hunter why don't you get Mike to come -- 1951 they asked me if I could come part-time at $15 a week; minister to youth at the Twelfth Baptist Church. I had to raise monies to do anything with, a lot different than the Norfolk House. That was my part-time gig at Twelfth Baptist Church and they ran into a problem somewhere around the end of 1955 or 56. I think I had Chuck Cooper there in 1954. That whole area of Madison Park was filled in land and all the big buildings around Madison Park that were over three stories high -- here comes the historian par excellence -- all the big buildings by the 40s began to have sinking problems. All the way over to Shawmut Avenue you found a lot of these buildings were being geared up and propped up and Twelfth Baptist was having foundational problems and eventually was condemned by the city. It was terrible. This almost destroyed Rev. Hester. He's a guy who is now in his late 60s or something so I stayed with him during that crises. The big turmoil, the trustee, who's to blame for their losing building, the trustee had a big war and they cut out but the loyal people stayed. I had a job so I stayed with him. I stayed with him through the crisis for free. I stayed as the assistant minister because Mrs. Hester and Rev. Hester were very good to me. I stayed with them through that period of time without salary. Then when he took sick in November of '63 and Mrs. Hester didn't want to reveal that he was terminally ill though I got an idea that he was terminally ill, she never admitted it and he died. I was going to recommend Simpson Turner from Brooklyn, New York, my friend as pastor but they said they wanted to talk with me and I had just been elected to the House of Representatives at that time. I always had another gig and I said you take me as a representative and that was the issue for those who opposed me that I was a dirty politician. A couple of people opposed me but I expected to be there a couple of years.",
,INT:,when were you officially appointed as the pastor?,
,RH:,of Twelfth?,
,INT:,Yes.,
,RH:,In 1964 I became interim; and in 1965 I became senior pastor.,
,INT:,"just a couple of more questions, Rev.; I know I'm wearing you out. In WWII, if you had to talk about the impact of WWII on the black community, how would you describe it?",
,RH:,"Awful, there was an exodus of black life out of this community - many of whom came back broken and angry including my older brother came back angry and bitter to America because they did not properly accept them. I saw a lot of guys who were in high school with me, the class of '44 at English High. They never had an official reunion and it was decimated by WWII. A lot of those guys came back -- some of those guys never got their lives together. I saw it as a tragedy for blacks but it certainly set the stage for black protests which eventually led us into what we saw in the 1960s.",
,INT:,"Just one last question, if you promise to come back to fill in some more questions but [inaudible] the geographical movement from the Lower Roxbury up through over Mattapan, how would you describe that and [inaudible]",
,RH:,"There was a lot of, I didn't understand a lot of the things that were taking place until maybe I got into the legislature before I understood some of the things that the banks and the real estate people were doing, the red lining that was taking place; the whole urban renewal thing that just came and decimated big swaths of the community. I remember seeing Helen Davis cry. They owned a strip of beautiful houses on Warren Street, I remember seeing her cry with all this urban-- my own mother, now that I look back and I get angry with myself when I realize that I let my mother get $5,000 for the house on Haskins Street but the shifting, John Shelburne who didn't talk much, I wish I knew a lot of things that I learned later that I could have got from -- he was one of the people from a family born and raised on the west end, on the other side of Beacon Hill, watching that whole migration out of Beacon Hill, Twelfth Baptist Church into the south end. Relatives of mine who lived in the south end, the kids some of my peers, walked away from their family homes because they didn't sell them. I remember begging one of them don't do this and they walked away from their homes so they could never buy again. They didn't want to live in Natick or other places and they walked away from their family homes. So I watched all that shifting into Roxbury and now shifting into Mattapan. There's no place else to go. We're spread out all over the place. I tell people now when I ride through South Boston that there was a time when I wouldn't do that and now we're all over South Boston. We're all over East Boston. We're all over the eleven communities of Boson. I think there are real estate plans to try to control where we do go and Byron could probably speak better to that than I. I think there are still banks and real estate trying to determine what communities they are going to let so many live in as I see it.",
,INT:,"[inaudible] Can you remember any of the protests, do you remember coming back and facing [inaudible] no black people --?",
,RH:,"Woolworths. I'm sorry nobody got a hold of Charlie Lewis before he died. I think Charlie was nine. Charlie lived on Haskins Street for a while. I remember seeing him and his mother; he was carrying a flag because she was in the war mothers. Every march Charlie Lewis' mother would be out there and his sister. I remember Charlie Lewis yelling at me for not going up to Woolworth's Five and Ten on Washington Street. The guy who was the janitor of Dudley Station lived on Haskins Street; I think his name was Nobles. He used to take me and some other kids for rides on the elevator trains; he was the sweeper at Dudley Station. The first things that I remember that they held a meeting at Shaw House and they were going up to Woolworth's Five and Ten, the only black at Timothy Smith which was our Filenes when I was a kid. Timothy Smith was as good as Filenes and the only black lady, she lives in Saugus and came from the family named Grays and I can see her now. She was the elevator operator at Timothy Smith's. Nobody was working. The only guy at Clair's worked on the liquor loader. He worked in the liquor sections and he'd load liquor onto the trucks but there was nobody working. There was a Martin's Cut Rate store down by the corner of Williams and Washington Streets and none of these places had any black in it. So they started with Woolworth's Five and Ten, Mrs. Case was out there, one of the spearheads and Charlie Lewis's mother, one of the spearheads and the guys from NAACP -- the Guscott's, the Bynoe's and all that force in there. Things started stirring and churning. The people in the Progressive Credit Union that were there -- A person who's name I think is, I shouldn't have forgotten, a father from St. Bartholomew's Church, Father Hughes. I remember Father Hughes coming over into Roxbury. He was probably the most militant of the preachers in those early days. Father Hughes was out there on the cutting edge from St. Bartholomew's Church.",
,INT:,"I know I've kept you for an hour and one-half and I know it's been a long time but I know Bynoe has at least one more question [inaudible] Well, thank you so much [laughing]",
,RH:,I've got my mike on yes.,
